2015-08-25 23:42:33,366 (INFO)	: Initializing spherical_k
2015-08-25 23:42:40,769 (INFO)	: 46
2015-08-25 23:42:40,802 (INFO)	: ##### Number for filter 71 #######
2015-08-25 23:42:40,802 (INFO)	: 19
2015-08-25 23:42:40,829 (INFO)	: ##### Number for filter 72 #######
2015-08-25 23:42:40,829 (INFO)	: 42
2015-08-25 23:42:40,855 (INFO)	: ##### Number for filter 73 #######
2015-08-25 23:42:40,855 (INFO)	: 4
2015-08-25 23:42:40,882 (INFO)	: ##### Number for filter 74 #######
2015-08-25 23:42:40,882 (INFO)	: 15
2015-08-25 23:42:40,914 (INFO)	: ##### Number for filter 75 #######
2015-08-25 23:42:40,914 (INFO)	: 148
2015-08-25 23:42:40,941 (INFO)	: ##### Number for filter 76 #######
2015-08-25 23:42:40,941 (INFO)	: 0
2015-08-25 23:42:40,959 (INFO)	: ##### Number for filter 77 #######
2015-08-25 23:42:40,959 (INFO)	: 26
2015-08-25 23:42:40,987 (INFO)	: ##### Number for filter 78 #######
2015-08-25 23:42:40,987 (INFO)	: 1
2015-08-25 23:42:41,017 (INFO)	: ##### Number for filter 79 #######
2015-08-25 23:42:41,017 (INFO)	: 5
2015-08-25 23:42:41,048 (INFO)	: ##### Number for filter 80 #######
2015-08-25 23:42:41,048 (INFO)	: 56
2015-08-25 23:42:41,076 (INFO)	: ##### Number for filter 81 #######
2015-08-25 23:42:41,076 (INFO)	: 101
2015-08-25 23:42:41,105 (INFO)	: ##### Number for filter 82 #######
2015-08-25 23:42:41,105 (INFO)	: 12
2015-08-25 23:42:41,133 (INFO)	: ##### Number for filter 83 #######
2015-08-25 23:42:41,133 (INFO)	: 77
2015-08-25 23:42:41,161 (INFO)	: ##### Number for filter 84 #######
2015-08-25 23:42:41,161 (INFO)	: 1
2015-08-25 23:42:41,188 (INFO)	: ##### Number for filter 85 #######
2015-08-25 23:42:41,188 (INFO)	: 25
2015-08-25 23:42:41,216 (INFO)	: ##### Number for filter 86 #######
2015-08-25 23:42:41,216 (INFO)	: 5
2015-08-25 23:42:41,247 (INFO)	: ##### Number for filter 87 #######
2015-08-25 23:42:41,247 (INFO)	: 35
2015-08-25 23:42:41,281 (INFO)	: ##### Number for filter 88 #######
2015-08-25 23:42:41,281 (INFO)	: 16
2015-08-25 23:42:41,308 (INFO)	: ##### Number for filter 89 #######
2015-08-25 23:42:41,308 (INFO)	: 0
2015-08-25 23:42:41,324 (INFO)	: ##### Number for filter 90 #######
2015-08-25 23:42:41,324 (INFO)	: 104
2015-08-25 23:42:41,353 (INFO)	: ##### Number for filter 91 #######
2015-08-25 23:42:41,353 (INFO)	: 26
2015-08-25 23:42:41,379 (INFO)	: ##### Number for filter 92 #######
2015-08-25 23:42:41,379 (INFO)	: 6
2015-08-25 23:42:41,407 (INFO)	: ##### Number for filter 93 #######
2015-08-25 23:42:41,407 (INFO)	: 12
2015-08-25 23:42:41,434 (INFO)	: ##### Number for filter 94 #######
2015-08-25 23:42:41,435 (INFO)	: 36
2015-08-25 23:42:41,462 (INFO)	: ##### Number for filter 95 #######
2015-08-25 23:42:41,462 (INFO)	: 50
2015-08-25 23:42:41,489 (INFO)	: Normalizing Matrix
2015-08-25 23:42:41,489 (INFO)	: L2 Norm
2015-08-25 23:42:41,508 (INFO)	: Getting normalized D_t2
2015-08-25 23:42:41,519 (INFO)	: Normalized D_t2 done
2015-08-25 23:42:41,676 (INFO)	: ##### S Means Iteration 2 ######
2015-08-25 23:42:42,499 (INFO)	: ##### Number for filter 0 #######
2015-08-25 23:42:42,499 (INFO)	: 154
2015-08-25 23:42:42,526 (INFO)	: ##### Number for filter 1 #######
2015-08-25 23:42:42,527 (INFO)	: 63
2015-08-25 23:42:42,554 (INFO)	: ##### Number for filter 2 #######
2015-08-25 23:42:42,554 (INFO)	: 28
2015-08-25 23:42:42,582 (INFO)	: ##### Number for filter 3 #######
2015-08-25 23:42:42,582 (INFO)	: 0
2015-08-25 23:42:42,598 (INFO)	: ##### Number for filter 4 #######
2015-08-25 23:42:42,598 (INFO)	: 28
2015-08-25 23:42:42,625 (INFO)	: ##### Number for filter 5 #######
2015-08-25 23:42:42,625 (INFO)	: 42
2015-08-25 23:42:42,651 (INFO)	: ##### Number for filter 6 #######
2015-08-25 23:42:42,651 (INFO)	: 26
2015-08-25 23:42:42,679 (INFO)	: ##### Number for filter 7 #######
2015-08-25 23:42:42,680 (INFO)	: 7
2015-08-25 23:42:42,707 (INFO)	: ##### Number for filter 8 #######
2015-08-25 23:42:42,707 (INFO)	: 0
2015-08-25 23:42:42,725 (INFO)	: ##### Number for filter 9 #######
2015-08-25 23:42:42,725 (INFO)	: 42
2015-08-25 23:42:42,752 (INFO)	: ##### Number for filter 10 #######
2015-08-25 23:42:42,752 (INFO)	: 44
2015-08-25 23:42:42,780 (INFO)	: ##### Number for filter 11 #######
2015-08-25 23:42:42,780 (INFO)	: 19
2015-08-25 23:42:42,806 (INFO)	: ##### Number for filter 12 #######
2015-08-25 23:42:42,806 (INFO)	: 0
2015-08-25 23:42:42,824 (INFO)	: ##### Number for filter 13 #######
2015-08-25 23:42:42,824 (INFO)	: 24
2015-08-25 23:42:42,850 (INFO)	: ##### Number for filter 14 #######
2015-08-25 23:42:42,850 (INFO)	: 60
2015-08-25 23:42:42,877 (INFO)	: ##### Number for filter 15 #######
2015-08-25 23:42:42,877 (INFO)	: 50
2015-08-25 23:42:42,906 (INFO)	: ##### Number for filter 16 #######
2015-08-25 23:42:42,906 (INFO)	: 55
2015-08-25 23:42:42,934 (INFO)	: ##### Number for filter 17 #######
2015-08-25 23:42:42,934 (INFO)	: 18
2015-08-25 23:42:42,961 (INFO)	: ##### Number for filter 18 #######
2015-08-25 23:42:42,961 (INFO)	: 36
2015-08-25 23:42:42,989 (INFO)	: ##### Number for filter 19 #######
2015-08-25 23:42:42,989 (INFO)	: 146
2015-08-25 23:42:43,015 (INFO)	: ##### Number for filter 20 #######
2015-08-25 23:42:43,015 (INFO)	: 7
2015-08-25 23:42:43,043 (INFO)	: ##### Number for filter 21 #######
2015-08-25 23:42:43,043 (INFO)	: 10
2015-08-25 23:42:43,070 (INFO)	: ##### Number for filter 22 #######
